dataset,feature_mode,method,detection_type,k,alarm_precision,event_recall,alarm_event_f1,precision,recall,f1,true_positive_alarms,false_positives,false_alarm_rate_per_hour,detection_delay_seconds_mean,detection_delay_seconds_median,runtime_seconds,number_of_alarms,event_level_detection_count,event_count
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,spatial,5,0.46153846153846156,0.4166666666666667,0.43795620437956206,0.46153846153846156,0.4166666666666667,0.43795620437956206,12,14,6.232224557932485,62.0,53.0,2.7656265000696294,26,5,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,temporal,1,0.024869109947643978,0.9166666666666666,0.04842446709916589,0.024869109947643978,0.9166666666666666,0.04842446709916589,38,1490,663.2867565228145,35.72727272727273,17.0,2.7656265000696294,1528,11,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,temporal,2,0.02698282910874898,0.9166666666666666,0.05242255758538523,0.02698282910874898,0.9166666666666666,0.05242255758538523,33,1190,529.7390874242612,42.09090909090909,22.0,2.7656265000696294,1223,11,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,temporal,3,0.03460837887067395,0.8333333333333334,0.0664568030779993,0.03460837887067395,0.8333333333333334,0.0664568030779993,19,530,235.93421540744407,44.7,26.0,2.7656265000696294,549,10,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,temporal,4,0.029339853300733496,0.8333333333333334,0.05668398677373642,0.029339853300733496,0.8333333333333334,0.05668398677373642,12,397,176.72808210708544,50.2,31.0,2.7656265000696294,409,10,12
bgpclear_apptraffic_2hourRun,DataPlane,DenStream,temporal,5,0.03986710963455149,0.8333333333333334,0.07609384908053266,0.03986710963455149,0.8333333333333334,0.07609384908053266,12,289,128.65092123160628,51.9,34.0,2.7656265000696294,301,10,12
bgpclear_first,CompleteFeatures,DBSCAN,spatial,1,0.23070866141732282,1.0,0.3749200255918106,0.23070866141732282,1.0,0.3749200255918106,293,977,1176.7146202743393,4.090909090909091,1.0,0.24253829999361187,1270,11,11
bgpclear_first,CompleteFeatures,DBSCAN,spatial,2,0.3584656084656085,1.0,0.527750730282376,0.3584656084656085,1.0,0.527750730282376,271,485,584.1418534626965,5.363636363636363,5.0,0.24253829999361187,756,11,11
bgpclear_first,CompleteFeatures,DBSCAN,spatial,3,0.40632054176072235,1.0,0.5778491171749599,0.40632054176072235,1.0,0.5778491171749599,180,263,316.7614586818334,8.818181818181818,6.0,0.24253829999361187,443,11,11
bgpclear_first,CompleteFeatures,DBSCAN,spatial,4,0.4895833333333333,1.0,0.6573426573426574,0.4895833333333333,1.0,0.6573426573426574,94,98,118.0327868852459,20.363636363636363,14.0,0.24253829999361187,192,11,11
bgpclear_first,CompleteFeatures,DBSCAN,spatial,5,0.5740740740740741,0.7272727272727273,0.6416558861578265,0.5740740740740741,0.7272727272727273,0.6416558861578265,31,23,27.701572432251588,27.625,26.5,0.24253829999361187,54,8,11
bgpclear_first,CompleteFeatures,DBSCAN,temporal,1,0.056338028169014086,0.7272727272727273,0.10457516339869281,0.056338028169014086,0.7272727272727273,0.10457516339869281,8,134,161.39176982268316,2.125,1.0,0.24253829999361187,142,8,11
bgpclear_first,CompleteFeatures,DBSCAN,temporal,2,0.09574468085106383,0.8181818181818182,0.17142857142857143,0.09574468085106383,0.8181818181818182,0.17142857142857143,9,85,102.37537638006022,5.777777777777778,5.0,0.24253829999361187,94,9,11
